,E,OBJ,Success
0,0.166,5.779414244030798,1.0
0,0.167,5.70390733826625,1.0
0,0.37,2.5044658265477775,1.0
0,0.371,2.5182376701126556,1.0
0,0.338531637054316,2.077052522886129,1.0
0,0.339531637054316,2.090199342575319,1.0
0,0.21265818527157998,2.9929377870757867,1.0
0,0.21365818527157998,2.9480295322474297,1.0
0,0.2901923990544575,1.5800625568459779,1.0
0,0.2911923990544575,1.5848758744162263,1.0
0,0.24731265208482886,1.8627138921908086,1.0
0,0.24831265208482886,1.8427702290023007,1.0
0,0.2805848971719541,1.5546763706901985,1.0
0,0.2815848971719541,1.555429560199502,1.0
0,0.27880262096787994,1.554519172042001,1.0
0,0.27980262096787994,1.5544175600418055,1.0
0,0.365,2.4355944004109684,1.0
0,0.366,2.449365571134418,1.0
0,0.12,10.592401096441225,1.0
0,0.121,10.44729246486698,1.0
0,0.3014534270608216,1.654908338462643,1.0
0,0.3024534270608216,1.6634479759368235,1.0
0,0.19772385682384921,3.7406531602906545,1.0
0,0.19872385682384922,3.6866529951944145,1.0
0,0.28477856375890376,1.5608989856198483,1.0
0,0.28577856375890376,1.5635317475503525,1.0
0,0.2773463866336127,1.5555542057847265,1.0
0,0.2783463866336127,1.554728846650215,1.0
0,0.27912024450739387,1.5544338737250465,1.0
0,0.28012024450739387,1.5544874078302442,1.0
0,0.27901219737523913,1.5544575549775037,1.0
0,0.28001219737523914,1.5544579255873305,1.0
0,0.2791163266791273,1.5544344429427817,1.0
0,0.2801163266791273,1.5544861089558841,1.0
0,0.27912005940797396,1.5544338723510314,1.0
0,0.28012005940797396,1.5544873064043543,1.0
0,0.2791175958069351,1.554434308372203,1.0
0,0.2801175958069351,1.5544865796251333,1.0
0,0.27911996002382133,1.5544337111522135,1.0
0,0.28011996002382133,1.5544873845687224,1.0
0,0.2791198887175315,1.554433705620763,1.0
0,0.2801198887175315,1.5544873988378236,1.0
0,0.2791187422622333,1.554433823921415,1.0
0,0.2801187422622333,1.5544866232444312,1.0
0,0.279119818955725,1.5544338382872942,1.0
0,0.280119818955725,1.5544873765778804,1.0
0,0.27911988839678425,1.5544337009389595,1.0
0,0.28011988839678426,1.5544873910201649,1.0
0,0.279119888396587,1.5544337009389577,1.0
0,0.280119888396587,1.5544873910201766,1.0
0,0.279119853676156,1.5544337686826968,1.0
0,0.280119853676156,1.5544874246420983,1.0
0,0.279119888396587,1.5544337009389577,1.0
0,0.280119888396587,1.5544873910201766,1.0
0,0.193,4.003304580100793,1.0
0,0.194,3.9466476685940033,1.0
0,0.37,2.5044658265477775,1.0
0,0.371,2.5182376701126556,1.0
0,0.33538890530575294,2.0360738424490936,1.0
0,0.33638890530575294,2.0490547119747715,1.0
0,0.1969445265287647,3.783120132454866,1.0
0,0.1979445265287647,3.72868856504401,1.0
0,0.2930239206375945,1.5946918260407719,1.0
0,0.2940239206375945,1.6005890963484766,1.0
0,0.23537651138733412,2.1548546587979076,1.0
0,0.23637651138733412,2.126504215069884,1.0
0,0.28132166829101385,1.555185639437618,1.0
0,0.28232166829101385,1.5562831035658093,1.0
0,0.27864597646324146,1.5545793561696875,1.0
0,0.27964597646324146,1.5544009927111104,1.0
0,0.27902004397317565,1.5544553831507362,1.0
0,0.28002004397317565,1.5544602978449205,1.0
0,0.167,5.70390733826625,1.0
0,0.168,5.6292572600991715,1.0
0,0.37,2.5044658265477775,1.0
0,0.371,2.5182376701126556,1.0
0,0.33838245325469013,2.0750955759361505,1.0
0,0.33938245325469013,2.0882348018388663,1.0
0,0.21191226627345067,3.026936861167325,1.0
0,0.21291226627345067,2.981454499542557,1.0
0,0.2903034282182334,1.5805783630825347,1.0
0,0.2913034282182334,1.585433538674892,1.0
0,0.24690819904722125,1.8709760711440246,1.0
0,0.24790819904722125,1.8507538529769074,1.0
0,0.28061169054821106,1.5546904651747824,1.0
0,0.28161169054821106,1.555456157738624,1.0
0,0.278797062290093,1.5545213195848868,1.0
0,0.279797062290093,1.5544167824209012,1.0
0,0.198,3.7256854457501207,1.0
0,0.199,3.671838532900846,1.0
0,0.37,2.5044658265477775,1.0
0,0.371,2.5182376701126556,1.0
0,0.33496893437893444,2.030640260771869,1.0
0,0.33596893437893444,2.04359647809723,1.0
0,0.1948446718946722,3.899236983044707,1.0
0,0.1958446718946722,3.843630727466108,1.0
0,0.29335870480933346,1.5966251646012402,1.0
0,0.29435870480933346,1.6026455285120678,1.0
0,0.23383349049700985,2.2000116410056787,1.0
0,0.23483349049700986,2.1705509907872984,1.0
0,0.28141921977643986,1.5552729660080356,1.0
0,0.28241921977643986,1.556414722151465,1.0
0,0.2786249839953246,1.5545888919147515,1.0
0,0.2796249839953246,1.5544002356302191,1.0
0,0.27902121461486273,1.5544552543759758,1.0
0,0.28002121461486273,1.5544598516338057,1.0
