,E,OBJ,Success
0,0.166,1.3879720080145983,1.0
0,0.167,1.3696640134802431,1.0
0,0.37,0.6786854677475925,1.0
0,0.371,0.6816164904927874,1.0
0,0.3418476315476486,0.5974528692372735,1.0
0,0.3428476315476486,0.6002518650918012,1.0
0,0.2292381577382429,0.621333853666354,1.0
0,0.2302381577382429,0.6153834451588861,1.0
0,0.28464091181762663,0.4856476180018078,1.0
0,0.28564091181762663,0.4860715882619821,1.0
0,0.2702057473999869,0.489146632872552,1.0
0,0.2712057473999869,0.48829747118021005,1.0
0,0.28026221180216837,0.4847731617364799,1.0
0,0.28126221180216837,0.48482884479161586,1.0
0,0.2796001757850352,0.4847836861385443,1.0
0,0.2806001757850352,0.4847823085613667,1.0
0,0.2801204545379134,0.48477222342275406,1.0
0,0.2811204545379134,0.48481571077903507,1.0
0,0.365,0.6640388820053499,1.0
0,0.366,0.666965931393776,1.0
0,0.12,2.6034176170927035,1.0
0,0.121,2.5655795259972707,1.0
0,0.2980030964504812,0.49768833472963053,1.0
0,0.2990030964504812,0.49910589309995546,1.0
0,0.23508651047971013,0.5888407469432645,1.0
0,0.23608651047971013,0.5838205803599832,1.0
0,0.2811800236282207,0.4848209968675523,1.0
0,0.2821800236282207,0.4849557738059854,1.0
0,0.27941248771473487,0.4847936848115373,1.0
0,0.28041248771473487,0.48477600622134065,1.0
0,0.193,0.9666174067155654,1.0
0,0.194,0.9536279118688893,1.0
0,0.37,0.6786854677475925,1.0
0,0.371,0.6816164904927874,1.0
0,0.33741368344931294,0.5851833257575627,1.0
0,0.33841368344931294,0.5879287385676273,1.0
0,0.20706841724656472,0.8011642034697727,1.0
0,0.20806841724656472,0.7908309064716333,1.0
0,0.2875808464466904,0.4871225534874175,1.0
0,0.2885808464466904,0.4877798024688772,1.0
0,0.26375705817467837,0.49698115287863665,1.0
0,0.2647570581746784,0.4954939627880087,1.0
0,0.280266941678075,0.48477322679055834,1.0
0,0.281266941678075,0.4848293001136086,1.0
0,0.27958475347049794,0.4847844134318275,1.0
0,0.28058475347049794,0.4847816859460027,1.0
0,0.2801208821789546,0.4847722110707193,1.0
0,0.2811208821789546,0.4848157401494899,1.0
0,0.167,1.3696640134802431,1.0
0,0.168,1.3515926919018888,1.0
0,0.37,0.6786854677475925,1.0
0,0.371,0.6816164904927874,1.0
0,0.3416699427402775,0.596956627454499,1.0
0,0.3426699427402775,0.599753731850119,1.0
0,0.22834971370138757,0.6267549071079309,1.0
0,0.22934971370138757,0.6206621770591789,1.0
0,0.2848205630516177,0.485717759518859,1.0
0,0.2858205630516177,0.48615638291458,1.0
0,0.26983031123350787,0.4894902505117161,1.0
0,0.27083031123350787,0.48860504751922773,1.0
0,0.2802617979611171,0.48477313980649944,1.0
0,0.2812617979611171,0.48482880318275934,1.0
0,0.2795991798192284,0.4847837505450091,1.0
0,0.2805991798192284,0.48478226104662464,1.0
0,0.2801202082267014,0.4847722413757427,1.0
0,0.2811202082267014,0.4848156913796564,1.0
0,0.198,0.9034910703413386,1.0
0,0.199,0.8914365182966119,1.0
0,0.37,0.6786854677475925,1.0
0,0.371,0.6816164904927874,1.0
0,0.3363585868916708,0.5823014124708856,1.0
0,0.3373585868916708,0.5850324201431444,1.0
0,0.20179293445835406,0.8588033919779504,1.0
0,0.20279293445835406,0.8474792754426295,1.0
0,0.28831768982411865,0.48759912907238273,1.0
0,0.28931768982411865,0.4883145713917225,1.0
0,0.2619413142435703,0.4999391047180387,1.0
0,0.2629413142435703,0.49826855321608354,1.0
0,0.28030796882477976,0.4847738185362014,1.0
0,0.28130796882477976,0.4848334102336198,1.0
0,0.27958019201975015,0.48478465824698663,1.0
0,0.28058019201975015,0.4847815077900205,1.0
0,0.28014291778493744,0.4847722459722873,1.0
0,0.28114291778493744,0.4848176763106021,1.0
