,E1,E2,G12,OBJ,Success
0,0.26,0.24,0.1,30.0,0.0
0,0.26,0.24,0.11246578221198196,30.0,0.0
0,0.26,0.24,0.12648552168552962,30.0,0.0
0,0.26,0.24,0.14225293134853698,30.0,0.0
0,0.26,0.24,0.15998587196060582,30.0,0.0
0,0.26,0.24,0.17992936232915524,30.0,0.0
0,0.26,0.24,0.20235896477251572,30.0,0.0
0,0.26,0.24,0.22758459260747887,30.0,0.0
0,0.26,0.24,0.2559547922699536,30.0,0.0
0,0.26,0.24,0.2878615592354568,1.7593404538866688,1.0
0,0.26,0.24,0.3237457542817644,1.7596162577009102,1.0
0,0.26,0.24,0.3641031949310675,1.7599278177791862,1.0
0,0.26,0.24,0.40949150623804254,1.7602805369452519,1.0
0,0.26,0.24,0.46053782558224143,1.7606805192387787,1.0
0,0.26,0.24,0.5179474679231212,1.761133633045696,1.0
0,0.26,0.24,0.5825136712468927,1.7616473696577784,1.0
0,0.26,0.24,0.655128556859551,1.762230747745071,1.0
0,0.26,0.24,0.7367954559661629,1.7628944234090318,1.0
0,0.26,0.24,0.8286427728546845,1.7636493414399697,1.0
0,0.26,0.24,0.9319395762340781,1.7645073700618799,1.0
0,0.26,0.24,1.0481131341546859,1.765486182693939,1.0
0,0.26,0.24,1.1787686347935873,1.766602872841071,1.0
0,0.26,0.24,1.3257113655901096,1.7678774152211396,1.0
0,0.26,0.24,1.4909716571840645,1.7693322672682137,1.0
0,0.26,0.24,1.6768329368110082,1.7709964695765246,1.0
0,0.26,0.24,1.8858632787726497,1.7729014516146886,1.0
0,0.26,0.24,2.1209508879201904,1.7750819819402335,1.0
0,0.26,0.24,2.38534400643142,1.7775802333058874,1.0
0,0.26,0.24,2.682695795279726,1.7804436669981842,1.0
0,0.26,0.24,3.017114810529294,1.7837257586590716,1.0
0,0.26,0.24,3.39322177189533,1.7874929182168555,1.0
0,0.26,0.24,3.816213407949357,1.7918187371645062,1.0
0,0.26,0.24,4.291934260128778,1.7967885875033194,1.0
0,0.26,0.24,4.826957437677871,1.802494574198593,1.0
0,0.26,0.24,5.428675439323859,1.8090330636611727,1.0
0,0.26,0.24,6.105402296585329,1.816498654671293,1.0
0,0.26,0.24,6.8664884500430015,1.8249991149817195,1.0
0,0.26,0.24,7.722449945836258,1.8346506824536695,1.0
0,0.26,0.24,8.685113737513529,1.8455674483497804,1.0
0,0.26,0.24,9.767781100894892,1.857891461949274,1.0
0,0.26,0.24,10.985411419875584,1.8717368001100407,1.0
0,0.26,0.24,12.35482888256747,1.8871977886322688,1.0
0,0.26,0.24,13.894954943731374,1.9043385332735165,1.0
0,0.26,0.24,15.627069765469948,1.9231940073924403,1.0
0,0.26,0.24,17.57510624854793,1.9437766901747064,1.0
0,0.26,0.24,19.765980717016348,1.9660740515074733,1.0
0,0.26,0.24,22.229964825261955,1.9900969401531825,1.0
0,0.26,0.24,25.001103826179307,2.0156810159963627,1.0
0,0.26,0.24,28.11768697974231,2.042729444828086,1.0
0,0.26,0.24,31.622776601683793,2.071058459039762,1.0
