,E,G,OBJ,Success
0,0.166,0.42,30.0,0.0
0,0.17600000000000002,0.42,30.0,0.0
0,0.166,0.43,30.0,0.0
0,0.155,0.52,0.5701495170323447,1.0
0,0.165,0.52,30.0,0.0
0,0.155,0.53,0.624877353739052,1.0
0,0.12,0.2,30.0,0.0
0,0.13,0.2,30.0,0.0
0,0.12,0.21000000000000002,30.0,0.0
0,0.14753034794237138,0.45170603833025263,30.0,0.0
0,0.1575303479423714,0.45170603833025263,30.0,0.0
0,0.14753034794237138,0.46170603833025264,30.0,0.0
0,0.15431459867337904,0.51373347358518,30.0,0.0
0,0.16431459867337905,0.51373347358518,30.0,0.0
0,0.15431459867337904,0.52373347358518,0.604366864767208,1.0
0,0.1549903796832964,0.5199120428187101,0.5699528575658204,1.0
0,0.1649903796832964,0.5199120428187101,30.0,0.0
0,0.1549903796832964,0.5299120428187101,0.6245776642789953,1.0
0,0.15454436421675094,0.5158341871245802,0.5613458767985526,1.0
0,0.16454436421675095,0.5158341871245802,30.0,0.0
0,0.15454436421675094,0.5258341871245802,0.6110390278453746,1.0
0,0.1543927189581255,0.514447716188576,30.0,0.0
0,0.16439271895812552,0.514447716188576,30.0,0.0
0,0.1543927189581255,0.524447716188576,0.6066095653493213,1.0
0,0.15454395949551342,0.5158304868161228,0.5613385426991713,1.0
0,0.16454395949551343,0.5158304868161228,30.0,0.0
0,0.15454395949551342,0.5258304868161228,0.6110269918889086,1.0
0,0.1544441407408374,0.5149178582019419,0.5595514509897505,1.0
0,0.1644441407408374,0.5149178582019419,30.0,0.0
0,0.1544441407408374,0.5249178582019419,0.6081006253858718,1.0
0,0.1544441407408374,0.5149178582019419,0.5595514509897505,1.0
0,0.1644441407408374,0.5149178582019419,30.0,0.0
0,0.1544441407408374,0.5249178582019419,0.6081006253858718,1.0
0,0.12,0.4134483513391745,1.1447835495434628,1.0
0,0.13,0.4134483513391745,30.0,0.0
0,0.12,0.4234483513391745,1.3156623278749218,1.0
0,0.14720031999853975,0.4935781788627569,0.6101027316844522,1.0
0,0.15720031999853976,0.4935781788627569,30.0,0.0
0,0.14720031999853975,0.5035781788627569,0.694214594536193,1.0
0,0.15291935511982707,0.510425969546641,0.5670755738277338,1.0
0,0.16291935511982708,0.510425969546641,30.0,0.0
0,0.15291935511982707,0.520425969546641,0.6228141687925609,1.0
0,0.15412270637151274,0.5139709399092336,0.5610204984133483,1.0
0,0.16412270637151274,0.5139709399092336,30.0,0.0
0,0.15412270637151274,0.5239709399092336,0.6110499677192617,1.0
