,E1,nu12,OBJ,Success
0,0.765,0.46599999999999997,6.941485700485908,1.0
0,1.905,0.274,8.633869049865808,1.0
0,0.385,0.32200000000000006,3.527176262540712,1.0
0,0.195,0.13,3.58163668427828,1.0
0,1.145,0.226,7.085321499713715,1.0
0,0.955,0.17800000000000002,6.3181057077798135,1.0
0,1.3350000000000002,0.082,7.058748336505672,1.0
0,1.715,0.37,8.706027738828633,1.0
0,1.525,0.034,7.314782896963592,1.0
0,0.575,0.41800000000000004,5.703669004774359,1.0
0,0.23665994986513036,0.30750522353033316,1.845461935354431,1.0
0,0.1,0.45190409996548975,5.526458589724159,1.0
0,0.2487235260464825,0.2655621370162603,1.859405944761109,1.0
0,0.20844048477344257,0.27675938872451805,2.0334795884020425,1.0
0,0.48861751521371954,0.01,3.051383680048152,1.0
0,0.25251815218068013,0.2916091446008233,1.902224348858255,1.0
0,0.3547593496092254,0.14649761573018447,2.3657501271515975,1.0
0,0.3467724389933268,0.01,2.040899912716571,1.0
0,0.31003700655808497,0.49,3.7717513444395263,1.0
0,0.2788382633557149,0.21187671927251764,1.9329343651246282,1.0
0,0.7336318903705124,0.01,4.696031697120704,1.0
0,1.316707281378207,0.49,8.55843501882796,1.0
0,0.2330282314849229,0.3480414209932267,1.8795220821129974,1.0
0,0.32610782570109564,0.07036916786538569,2.004575562154799,1.0
0,2.0,0.01,8.01313999710957,1.0
0,0.3749184009470825,0.048115602008505856,2.257025183433763,1.0
0,1.0495572782016902,0.01,6.035661938072831,1.0
0,0.2865213623083182,0.01,2.122278911379847,1.0
0,0.22092382956093135,0.32670817374041916,1.8220134252336326,1.0
0,2.0,0.49,9.493334568706883,1.0
0,0.22092382956093135,0.32670817374041916,1.8220134252336326,1.0
0,0.22102382956093133,0.32670817374041916,1.8219973395984184,1.0
0,0.22092382956093135,0.32680817374041915,1.8219652261984434,1.0
0,0.3817801817036222,0.49,4.629471087920737,1.0
0,0.3818801817036222,0.49,4.630519945081848,1.0
0,0.3817801817036222,0.4901,4.630233962788031,1.0
0,0.22240988803384454,0.328216732145096,1.8218009519850362,1.0
0,0.22250988803384453,0.328216732145096,1.821864369845874,1.0
0,0.22240988803384454,0.328316732145096,1.8217787257877305,1.0
0,0.22147511833095235,0.32874052268204085,1.8212245137648693,1.0
0,0.22157511833095234,0.32874052268204085,1.8212575080791238,1.0
0,0.22147511833095235,0.32884052268204084,1.8211919022976757,1.0
0,0.21834004938390306,0.3333100960701524,1.8193480988165296,1.0
0,0.21844004938390305,0.3333100960701524,1.8193117285705456,1.0
0,0.21834004938390306,0.3334100960701524,1.8192938069977007,1.0
0,0.2124975200721561,0.34581899164622576,1.8156330866119306,1.0
