,E1,nu12,OBJ,Success
0,0.765,0.46599999999999997,6.703556580146916,1.0
0,1.905,0.274,8.30955815681858,1.0
0,0.385,0.32200000000000006,3.450336654988848,1.0
0,0.195,0.13,3.542308125875341,1.0
0,1.145,0.226,6.839937946224482,1.0
0,0.955,0.17800000000000002,6.110824184917151,1.0
0,1.3350000000000002,0.082,6.814563782495425,1.0
0,1.715,0.37,8.37803699253325,1.0
0,1.525,0.034,7.057704036434459,1.0
0,0.575,0.41800000000000004,5.5268723155429695,1.0
0,0.23737448294022379,0.3113640789226497,1.8400694176085284,1.0
0,0.1,0.4551919327309553,5.344740989481085,1.0
0,0.24644953425270189,0.2689037396217259,1.846214520359137,1.0
0,0.20750148250301975,0.2810152243604668,2.043897390437995,1.0
0,0.25444672441116256,0.29495789325830235,1.9010827095162033,1.0
0,0.3613987564317737,0.140547013729421,2.3666138243167762,1.0
0,0.5079659429584173,0.01,3.1391626609497143,1.0
0,0.3539661676630028,0.01,2.0380889680956678,1.0
0,0.30871155870971156,0.49,3.668331965191239,1.0
0,0.27920549902439573,0.21284059146110357,1.914505029832751,1.0
0,0.7471995902396259,0.01,4.635278131375021,1.0
0,0.3182785381233767,0.06989388808294908,1.9526292510965013,1.0
0,0.2904817836143742,0.01,2.083724704552373,1.0
0,1.3167946105075765,0.49,8.238351955029255,1.0
0,0.23324623277256468,0.3519750064736758,1.8730315264248572,1.0
0,2.0,0.01,7.720607459266051,1.0
0,0.22175253786030852,0.3308497964420632,1.819992269655659,1.0
0,1.054225071755754,0.01,5.8568195358261015,1.0
0,0.29733074557529987,0.1383629899137852,1.922572743019238,1.0
0,2.0,0.49,9.124053790200993,1.0
0,0.22175253786030852,0.3308497964420632,1.819992269655659,1.0
0,0.22275253786030852,0.3308497964420632,1.8198754148010559,1.0
0,0.22175253786030852,0.3318497964420632,1.8195511653240724,1.0
0,0.3386073924634186,0.49,4.037795919003532,1.0
0,0.3396073924634186,0.49,4.0494553988443265,1.0
0,0.3386073924634186,0.491,4.045342168472273,1.0
0,0.22291121161143249,0.33242784952316906,1.8194505027448233,1.0
0,0.2239112116114325,0.33242784952316906,1.8199919834012155,1.0
0,0.22291121161143249,0.33342784952316906,1.8192252844336787,1.0
0,0.2222113818483366,0.333302059955282,1.8190273555303995,1.0
0,0.2232113818483366,0.333302059955282,1.8194059907511364,1.0
0,0.2222113818483366,0.334302059955282,1.8187491046254156,1.0
0,0.21346007521263263,0.35059105592091533,1.8145049872809178,1.0
0,0.21446007521263263,0.35059105592091533,1.8135441145899396,1.0
0,0.21346007521263263,0.35159105592091533,1.8138067869136765,1.0
0,0.2000837764682447,0.3845364886525787,1.8081765701645685,1.0
0,0.2010837764682447,0.3845364886525787,1.8058829497506539,1.0
0,0.2000837764682447,0.3855364886525787,1.807082809461807,1.0
0,0.1653792650195482,0.48516419708838765,1.7938830240129733,1.0
0,0.1663792650195482,0.48516419708838765,1.7890212893054176,1.0
0,0.1653792650195482,0.48616419708838765,1.7920717914962672,1.0
