,E,OBJ,Success
0,0.166,3.163798002107336,1.0
0,0.167,3.1228160650814223,1.0
0,0.37,3.0509320856491424,1.0
0,0.371,3.06083246856415,1.0
0,0.330306878361549,2.6461099723659904,1.0
0,0.331306878361549,2.6565000080521672,1.0
0,0.17153439180774493,2.9438805690138086,1.0
0,0.17253439180774494,2.9058689729342566,1.0
0,0.25095648523529746,1.8855634865109356,1.0
0,0.25195648523529746,1.8923492736686474,1.0
0,0.12,5.794511981629863,1.0
0,0.121,5.7166315180133225,1.0
0,0.2367720311872077,1.8126063843934042,1.0
0,0.2377720311872077,1.8160740041088346,1.0
0,0.12,5.794511981629863,1.0
0,0.121,5.7166315180133225,1.0
0,0.23090019777135995,1.7989082522378697,1.0
0,0.23190019777135995,1.8003641990083974,1.0
0,0.2266504627831042,1.7973863283853246,1.0
0,0.2276504627831042,1.7970176953548063,1.0
0,0.22750906742551144,1.7970409510687873,1.0
0,0.22850906742551144,1.7970732921257664,1.0
0,0.365,3.0011720174501737,1.0
0,0.366,3.0111579473926993,1.0
0,0.12,5.794511981629863,1.0
0,0.121,5.7166315180133225,1.0
0,0.2753313091133888,2.0885625438756836,1.0
0,0.2763313091133888,2.098055395173089,1.0
0,0.1728126450985522,2.8953820377506205,1.0
0,0.1738126450985522,2.8580177949901855,1.0
0,0.24149060257769867,1.8314467614645693,1.0
0,0.24249060257769867,1.8362062809765423,1.0
0,0.12901467005103903,5.135251275991756,1.0
0,0.13001467005103903,5.067610564477669,1.0
0,0.2331792332900512,1.8027781478761655,1.0
0,0.2341792332900512,1.8050774143192236,1.0
0,0.22541171833786758,1.7985206270553984,1.0
0,0.22641171833786758,1.7975452620212897,1.0
0,0.2277253107341732,1.7970096006594463,1.0
0,0.2287253107341732,1.7971392214906596,1.0
0,0.22745391380602276,1.7970523986908695,1.0
0,0.22845391380602276,1.7970595850599602,1.0
0,0.2276992262243068,1.7970118926851621,1.0
0,0.2286992262243068,1.7971304169018931,1.0
0,0.2277223393585339,1.79700969827475,1.0
0,0.2287223393585339,1.7971383260779663,1.0
0,0.22772484048915337,1.797009463989581,1.0
0,0.22872484048915337,1.797139127887608,1.0
0,0.22772456855386475,1.7970092658971764,1.0
0,0.22872456855386475,1.7971392980405998,1.0
0,0.22772345395619933,1.7970095406459143,1.0
0,0.22872345395619934,1.7971385823962267,1.0
0,0.22772450014849244,1.797009215415287,1.0
0,0.22872450014849244,1.7971394168602568,1.0
0,0.22772444581093013,1.7970091931630967,1.0
0,0.22872444581093013,1.7971392847938672,1.0
0,0.22772394988356473,1.7970090331708497,1.0
0,0.22872394988356473,1.7971390808067635,1.0
0,0.22772389923203065,1.7970089719897087,1.0
0,0.22872389923203065,1.797139030961671,1.0
0,0.2277238922620012,1.797008991043898,1.0
0,0.2287238922620012,1.7971390398273874,1.0
0,0.22772389923203065,1.7970089719897087,1.0
0,0.22872389923203065,1.797139030961671,1.0
0,0.193,2.2386952742409543,1.0
0,0.194,2.21185008618639,1.0
0,0.37,3.0509320856491424,1.0
0,0.371,3.06083246856415,1.0
0,0.24446485683537714,1.8463160943544032,1.0
0,0.24546485683537714,1.8517771847320836,1.0
0,0.2357651783799392,1.8094236458253379,1.0
0,0.2367651783799392,1.8125838666530338,1.0
0,0.22381625887282558,1.8011553657591661,1.0
0,0.22481625887282558,1.7993446338059136,1.0
0,0.22816880280389967,1.7970111187815112,1.0
0,0.22916880280389967,1.7973398059846377,1.0
0,0.227500104719691,1.7970427996097516,1.0
0,0.228500104719691,1.7970712164204086,1.0
0,0.22800200429284645,1.7970002418508484,1.0
0,0.22900200429284645,1.7972542857184952,1.0
0,0.167,3.1228160650814223,1.0
0,0.168,3.0824022046878374,1.0
0,0.37,3.0509320856491424,1.0
0,0.371,3.06083246856415,1.0
0,0.3300554912568199,2.643497671217636,1.0
0,0.3310554912568199,2.653888130182275,1.0
0,0.1702774562840994,2.992387863480743,1.0
0,0.1712774562840994,2.953729370308986,1.0
0,0.25150169202246697,1.8892404312469202,1.0
0,0.252501692022467,1.8961239049306902,1.0
0,0.12,5.794511981629863,1.0
0,0.121,5.7166315180133225,1.0
0,0.2369903864035137,1.8133383989877752,1.0
0,0.2379903864035137,1.8168695982197962,1.0
0,0.12,5.794511981629863,1.0
0,0.121,5.7166315180133225,1.0
0,0.23099253641861917,1.7990261274059798,1.0
0,0.23199253641861917,1.8005181703902309,1.0
0,0.2266039320630975,1.7974150128192203,1.0
0,0.2276039320630975,1.7970243356056415,1.0
0,0.2275145972395223,1.7970398811169768,1.0
0,0.2285145972395223,1.7970748723516092,1.0
0,0.198,2.1115042847701515,1.0
0,0.199,2.08853280985302,1.0
0,0.37,3.0509320856491424,1.0
0,0.371,3.06083246856415,1.0
0,0.2442006129076098,1.8449098404791342,1.0
0,0.2452006129076098,1.850312557548591,1.0
0,0.23540357508911283,1.8083598851483764,1.0
0,0.23640357508911283,1.8114047917512102,1.0
0,0.22404296789947586,1.800696479995988,1.0
0,0.22504296789947587,1.7990086590966048,1.0
0,0.22809447313305836,1.7970045913999533,1.0
0,0.22909447313305836,1.797300180037944,1.0
0,0.22749067503123385,1.7970447183974985,1.0
0,0.22849067503123385,1.7970684632254947,1.0
0,0.22795989535244401,1.7969990817298576,1.0
0,0.22895989535244402,1.7972348851882907,1.0
